i,type,title,color,text
31,keep,Oportunista,#85324f,"Kdykoliv je otočena nová karta, máš možnost ji ihned koupit."
32,keep,Parazitická chapadla,#1e6766,Můžeš nakupovat od jiných příšer. Zaplať jim cenu v ⚡.
33,keep,Super finta,#65396e,Změň jednu kostku na libovolný výsledek. Po použití tuto kartu odhoď.
34,keep,Jedovaté bodliny,#1b8253,"Kdykoliv vyhodnotíš <span style='white-space: nowrap'>[2][2][2]</span>, udělíš také 2 zranění."
35,keep,Jedovaté flusance,#1b8253,"Když způsobíš příšeře nějaké zranění, dej ji žeton jedu. Za každý žeton jedu utrpí příšera 1&nbsp;poškození na konci svého tahu. Zbavit se ho lze použitím hodu [❤️] místo léčení."
36,keep,Psychosonda,#4bcce1,"V každém tahu každé jiné příšery můžeš přehodit jednu její kostku. Pokud takto padne [❤️], tuto kartu odhoď."
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
37,keep,Jenom to posilujeme!,#b6514a,"Když ztratíš 2 ❤️ nebo více, získáváš 1 ⚡."
38,keep,Regenerace,#8a1f17,"Když se léčíš, vyléč si 1&nbsp;zranění navíc."
39,keep,Fandění břídilovi,#4c2777,"Pokud máš na konci tahu nejméně ⭐, získáváš 1&nbsp;⭐."
40,keep,Zmenšovací paprsek,#7a9359,"Když způsobíš příšeře nějaké zranění, dej ji žeton zmenšení. Za každý žeton zmenšení používá tato příšera o kostku méně. Zbavit se ho lze použitím hodu [❤️] místo léčení."
41,keep,Oblak dýmu,#49476e,Tato karta má 3 nabití. Za 1 nabití získáváš přehození navíc. Po 3 použitích kartu odhoď.
42,keep,Solární pohon,#bba820,"Pokud na konci tahu nemáš žádné ⚡, získáváš 1 ⚡."
43,keep,Ostnatý ocas,#5b7470,Při útoku způsobíš 1 zranění navíc.
44,keep,Natahovací,#921a62,Můžeš utratit 2 ⚡ a libovolně změnit výsledek jedné ze svých kostek.
45,keep,Energetický nápoj,#ef6d7a,Utrať 1 ⚡ a získáš 1 přehození navíc.
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
46,keep,Městožravec,#1d6254,"Když začínáš svůj tah v Tokiu, získáváš ⭐ navíc. Když způsobíš jakékoliv zranění z&nbsp;Tokia, způsobíš 1&nbsp;zranění navíc."
47,keep,Rychlé léčení,#a68b60,Kdykoliv utrať 2 ⚡ aby sis vyléčil 1&nbsp;zranění.
48,keep,Křídla,#a2763f,"Utrať 2 ⚡, abys zrušil zranění, která jsi utrpěl během tohoto tahu."
1,discard,Věžák,,+3 ⭐
2,discard,Lokálka,,+2 ⭐
3,discard,Krámek na rohu,,+1 ⭐
4,discard,Útok z výšky,,"+2 ⭐ a získáváš kontrolu nad Tokiem, pokud ji už nemáš."
5,discard,Energizace,,+9 ⚡
6,discard,Evakuace,,Všechny ostatní příšery ztrácejí 5&nbsp;⭐.
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
7,discard,Evakuace,,Všechny ostatní příšery ztrácejí 5&nbsp;⭐.
8,discard,Ohnivá šleha,,Všem ostatním příšerám způsobíš 2&nbsp;zranění.
9,discard,Zuřivost,,Po nákupu této karty získáváš ihned další tah.
10,discard,Ropná rafinérie,,+2 ⭐ a způsobíš 3 zranění všem ostatním příšerám.
11,discard,Uzdravení,,Vyléč si 2 zranění.&nbsp;
12,discard,Bombardování,,Všechny příšery (včetně tebe) utrpí 3&nbsp;zranění.
13,discard,Stíhačky,,+5 ⭐ a utrpíš 4&nbsp;zranění.
14,discard,Národní garda,,+2 ⭐ a utrpíš 2&nbsp;zranění.
15,discard,Jaderná elektrárna,,+2 ⭐ a vyléč si 3&nbsp;zranění.
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
,back,,,
16,discard,Mrakodrap,,+4 ⭐
,monster,alienoid,#a8d513,
17,discard,Tanky,,+4 ⭐ a utrpíš 3&nbsp;zranění.
,monster,cyber bunny,#ea70fc,
18,discard,Masivní bouře,,"+2 ⭐. Všechny ostatní příšery ztratí 1&nbsp;⚡ za každé 2&nbsp;⚡, které mají."
,monster,gigazaur,#efdd33,
,monsterback,,,
,back,,,
,monsterback,,,
,back,,,
,monsterback,,,
,back,,,
,monster,the king,#febd3c,
,blank,,,
,monster,kraken,#00af80,
,blank,,,
,monster,meka dragon,#fd4851,
,blank,,,
,blank,,,
,monsterback,,,
,blank,,,
,monsterback,,,
,blank,,,
,monsterback,,,
